NazwaInstytucji,SymbolLiterowy
Narodowy Bank Polski,NBP
Powszechna Kasa Oszczędności,PKO
Bank Handlowy w Warszawie Spółka Akcyjna,BH
ING,INGBSK
Bank BPH Spółka Akcyjna,BPH
Santander,SANPL
Bank Gospodarstwa Krajowego,BGK
mBank,mBank
Millennium,MIL
Bank Handlowo-Kredytowy Spółka Akcyjna w Katowicach w likwidacji,BHK
Polska Kasa Opieki,PEKAO
Bank Pocztowy,BPSA
Bank Ochrony Środowiska,BOS
Mercedes-Benz Bank Polska Spółka Akcyjna w likwidacji,MBBP
SGB-Bank Spółka Akcyjna,SGB-BA
PLUS BANK,PLUSSA
Société Générale Spółka Akcyjna Oddział w Polsce,SG
Nest Bank,NEST
Pekao Bank Hipoteczny Spółka Akcyjna,PEKAOH
Deutsche Bank Polska Spółka Akcyjna,DBPL
BANK POLSKIEJ SPÓŁDZIELCZOŚCI SPÓŁKA AKCYJNA,BPSSA
Credit Agricole,CABP
Idea Bank,IDEA
BNP Paribas Bank Polska,BNP
Santander Consumer Bank Spółka Akcyjna,SCB
mBank Hipoteczny Spółka Akcyjna,RH-BRE
Toyota Bank Polska Spółka Akcyjna,TBPSA
DNB Bank Polska Spółka Akcyjna,DNB
Svenska Handelsbanken AB Spółka Akcyjna Oddział w Polsce,SHBPOL
BNP Paribas S.A. Oddział w Polsce,BNPW
Danske Bank A/S Spółka Akcyjna Oddział w Polsce,DABAPO
Skandinaviska Enskilda Banken AB (Spółka Akcyjna) - Oddział w Polsce,SEBPL
CAIXABANK S.A. (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE,CAIXA
Elavon Financial Services Designated Activity Company (Spółka z O.O. o Wyznaczonym Przedmiocie Działalności) Oddział w Polsce,ELAVON
BNP Paribas Securities Services Spółka Komandytowo - Akcyjna Oddział w Polsce,PARBPL
HAITONG BANK S.A. Spółka Akcyjna Oddział w Polsce,HTBK
Getin Noble Bank Spółka Akcyjna,GNB
Alior Bank,ALIOR
Aareal Bank Aktiengesellschaft (Spółka Akcyjna) - Oddział w Polsce,AAREAL
Citibank Europe plc (Publiczna Spółka Akcyjna) Oddział w Polsce,CE PLC
Ikano Bank AB (publ) Spółka Akcyjna Oddział w Polsce,IKANO
Nordea Bank Abp Spółka Akcyjna Oddział w Polsce,NORDAB
Bank of China (Europe) S.A. Spółka Akcyjna Oddział w Polsce,BOCPL
Industrial and Commercial Bank of China (Europe) S.A. (Spółka Akcyjna) Oddział w Polsce,ICBCPL
RCI Banque Spółka Akcyjna Oddział w Polsce,RCIOPL
EUROCLEAR Bank SA/NV (Spółka Akcyjna) - Oddział w Polsce,EUROCL
Intesa Sanpaolo S.p.A. Spółka Akcyjna Oddział w Polsce,ISPBA
Western Union International Bank GmbH Sp. z o.o. Oddział w Polsce,WUIBPL
PKO Bank Hipoteczny Spółka Akcyjna,PKOBH
TF BANK AB (Spółka z ograniczoną odpowiedzialnością) Oddział w Polsce,TFBPL
FCE Bank Spółka Akcyjna Oddział w Polsce,FCEPL
AS Inbank Spółka Akcyjna - Oddział w Polsce,Inbank
China Construction Bank (Europe) S.A. (Spółka Akcyjna) Oddział w Polsce,CCBPL
MUFG Bank (Europe) N.V. S.A. Oddział w Polsce,MUFG
John Deere Bank S.A. Spółka Akcyjna Oddział w Polsce,JDB
Volkswagen Bank GmbH Spółka z ograniczoną odpowiedzialnością Oddział w Polsce,VWBO
ING Bank Hipoteczny Spółka Akcyjna,ING_BH
Raiffeisen Bank International AG (Spółka Akcyjna) Oddział w Polsce,RBI PL
HSBC Continental Europe (Spółka Akcyjna) Oddział w Polsce,HBFRPL
Goldman Sachs Bank Europe SE Spółka Europejska Oddział w Polsce,GAGW
J.P. Morgan SE (Spółka Europejska) Oddział w Polsce,JPMSE
BFF Bank S.p.A. Spółka Akcyjna Oddział w Polsce,BFPL
FCA Bank S.p.A. Spółka Akcyjna Oddział w Polsce,FCABPL
Bank Nowy Spółka Akcyjna,BN
Allfunds Bank S.A.U. (Spółka Akcyjna) Oddział w Polsce,AFB PL
Hoist Finance AB (publ) Spółka Akcyjna Oddział w Polsce,HOIST
Millennium Bank Hipoteczny Spółka Akcyjna,MILBH
AION Bank S.A. Spółka Akcyjna Oddział w Polsce,Aion
Bank Spółdzielczy w Otwocku,BS8001
Bank Spółdzielczy w Piasecznie,BS8002
Mazovia Bank Spółdzielczy,BS8003
Bank Spółdzielczy w Raszynie,BS8004
Spółdzielczy Bank Rzemiosła i Rolnictwa w Wołominie w upadłości likwidacyjnej,BS8006
Bank Spółdzielczy w Tarczynie,BS8008
Mazowiecki Bank Spółdzielczy w Łomiankach,BS8009
Bank Spółdzielczy w Nowym Dworze Mazowieckim,BS8011
Bank Spółdzielczy w Legionowie,BS8013
Warszawski Bank Spółdzielczy,BS8015
Bank Spółdzielczy w Nadarzynie w upadłości,BS8017
Bank Spółdzielczy w Halinowie,BS8019
Bank Spółdzielczy w Karczewie,BS8023
Bank Spółdzielczy w Białej Podlaskiej,BS8025
Bank Spółdzielczy w Kornicy,BS8035
Bank Spółdzielczy w Łomazach,BS8037
Bank Spółdzielczy w Łosicach,BS8038
Bank Spółdzielczy w Międzyrzecu Podlaskim,BS8039
Bank Spółdzielczy w Parczewie,BS8042
Bank Spółdzielczy w Platerowie,BS8044
Bank Spółdzielczy w Radzyniu Podlaskim,BS8046
Bank Spółdzielczy w Białymstoku,BS8060
Bank Spółdzielczy w Bielsku Podlaskim,BS8061
Bank Spółdzielczy w Brańsku,BS8063
Bank Spółdzielczy w Hajnówce,BS8071
Bank Spółdzielczy w Juchnowcu Górnym,BS8074
Podlaski Bank Spółdzielczy w Knyszynie,BS8076
Bank Spółdzielczy w Korycinie,BS8077
Bank Spółdzielczy w Łapach,BS8081
Bank Spółdzielczy w Mońkach,BS8085
Bank Spółdzielczy w Narwi,BS8086
Bank Spółdzielczy w Siemiatyczach,BS8092
Bank Spółdzielczy w Sokółce,BS8093
Bank Spółdzielczy w Suchowoli,BS8094
Podlasko-Mazurski Bank Spółdzielczy  w Zabłudowie,BS8099
ABS Bank Spółdzielczy,BS8110
Beskidzki Bank Spółdzielczy,BBS
Bank Spółdzielczy w Brzeźnicy,BS8112
Bank Spółdzielczy w Cieszynie,BS8113
Bank Spółdzielczy w Jasienicy,BS8117
Bank Spółdzielczy w Jeleśni,BS8118
Bank Spółdzielczy w Kalwarii Zebrzydowskiej,BS8119
